_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,Rper,LPH,w,dP/P
295.82935,47.51673,10415160,6354,4.36,1.2231,7.042,0.02,856.19,1.091,0.6126,0.0028401022
295.7099,47.55584,10414809,4969,4.42,0.8262,25.692,0.093,6007.16,0.893,0.5418,0.0036198038
289.15759,47.50752,10398397,4162,4.59,0.6074,25.308,0.221,15592.81,1.05,0.6098,0.0087324166
288.99557,47.50427,10398088,5368,4.44,0.9298,5.615,0.025,1062.39,1.135,0.6039,0.0044523598
288.06259,47.56137,10396224,5240,4.6,0.8964,17.153,0.033,13609.11,1.443,0.6792,0.0019238617
287.04242,47.59,10394384,6022,4.16,1.1138,15.982,0.407,972.15,0.459,0.3114,0.0254661494
287.01151,47.55244,10394332,4915,4.47,0.8122,1.261,0.004,71071.36,1.679,0.8041,0.0031720856
282.14365,47.53744,10385587,4894,4.32,0.8067,24.385,0.077,9024.68,0.979,0.5811,0.0031576789
281.34128,47.58672,10384323,4781,4.42,0.7769,19.405,0.026,15433.7,1.253,0.6706,0.0013398609
297.95444,47.41778,10357256,5204,4.14,0.887,10.964,0.114,8166.79,1.298,0.7077,0.0103976651
297.13232,47.42219,10354445,5014,4.77,0.8379,35.552,0.944,645.16,0.506,0.2995,0.0265526553
296.74551,47.48606,10353092,4941,4.31,0.8189,33.58,1.108,2610.56,0.44,0.294,0.0329958309
296.60669,47.4442,10352659,5366,4.51,0.9292,14.637,0.165,3813.56,1.12,0.669,0.0112728018
296.53168,47.4357,10352426,4965,4.11,0.8252,10.383,0.028,15554.43,1.44,0.7587,0.0026967158
296.21896,47.4891,10351485,5150,4.57,0.8731,14.739,0.025,12716.83,1.492,0.6962,0.0016961802
294.51007,47.47815,10346596,6389,4.3,1.2356,1.349,0.007,6299.97,1.184,0.6809,0.0051890289
294.37506,47.44204,10346211,4335,4.39,0.6771,11.91,0.075,8167.8,1.259,0.6713,0.0062972292
294.25208,47.44744,10345854,5461,4.5,0.9543,18.267,0.045,8137.26,1.006,0.5973,0.0024634587
291.02954,47.45044,10337441,5069,4.48,0.8521,9.698,0.047,14733.88,1.242,0.6534,0.0048463601
290.89926,47.48983,10337116,6342,4.25,1.2189,8.943,0.092,2374.71,0.839,0.508,0.0102873756
289.98245,47.4096,10334851,6141,4.53,1.1513,8.529,0.035,2599.27,0.85,0.5535,0.0041036464
289.77335,47.43033,10334364,6329,4.28,1.2144,6.887,0.177,909.66,0.337,0.2783,0.0257005953
289.0498,47.43005,10332832,4459,4.47,0.6888,26.653,0.57,7378.88,0.868,0.5587,0.0213859603
287.98486,47.40064,10330707,4764,4.2,0.7724,33.264,1.018,1728.48,0.456,0.3246,0.0306036556
286.91037,47.47863,10328797,5905,4.36,1.0783,14.018,0.401,6289.06,0.835,0.5349,0.0286060779
286.84348,47.41311,10328673,6010,4.56,1.1101,18.032,0.34,759.63,0.442,0.2851,0.0188553682
299.17514,47.32772,10296186,5557,4.54,0.9801,19.672,0.106,2972.72,0.679,0.4719,0.0053883693
298.31735,47.35017,10293068,5404,4.61,0.9392,22.535,0.519,3041.36,0.553,0.4037,0.0230308409
297.94131,47.36915,10291723,5842,4.48,1.0598,6.68,0.014,7197.74,0.801,0.4906,0.0020958084
296.39703,47.30909,10286289,6268,4.38,1.1934,6.09,0.41,1157.64,0.354,0.2842,0.0673234811
296.39685,47.33912,10286286,5429,4.38,0.9458,14.941,0.055,17710.83,1.298,0.6785,0.0036811458
295.88333,47.36102,10284738,6247,4.29,1.1863,22.745,0.114,913.74,0.572,0.3092,0.0050120906
294.88913,47.32395,10281953,5171,4.62,0.8785,25.482,0.187,5854.73,0.556,0.3962,0.0073385135
294.64697,47.37573,10281318,5568,4.77,0.983,31.079,0.398,854.43,0.486,0.2793,0.0128060748
294.08551,47.32152,10279679,5775,4.58,1.0405,19.275,1.604,2223.4,0.47,0.3392,0.0832166018
291.67816,47.33947,10273604,6226,4.33,1.1792,1.825,0.004,19068.81,1.574,0.7889,0.0021917808
291.21991,47.37319,10272501,5722,4.57,1.0255,16.003,0.046,5089.52,0.866,0.5504,0.002874461
290.93112,47.39203,10271799,6284,4.64,1.1988,7.485,0.076,2271.89,0.641,0.4511,0.0101536406
289.21555,47.38609,10267766,5614,4.93,0.9956,11.608,0.031,15347.39,1.138,0.6762,0.002670572
287.75601,47.30205,10264744,6272,4.25,1.1948,0.637,0.003,2924.2,1.199,0.6617,0.0047095761
284.90338,47.31671,10259462,4358,4.58,0.6864,23.859,0.041,13142.7,1.3,0.6446,0.0017184291
284.59409,47.32049,10258853,4562,4,0.7177,22.703,0.011,29869.74,1.35,0.6571,0.0004845175
284.22397,47.38811,10258136,5668,4.53,1.0105,5.071,0.028,25930.11,1.486,0.7695,0.0055215934
283.65649,47.37832,10257150,5442,4.53,0.9493,18.574,0.199,4330.93,1.054,0.6065,0.0107139012
283.12811,47.31504,10256240,6261,4.34,1.191,7.391,0.141,464.32,0.42,0.3405,0.0190772561
282.03714,47.3572,10254249,5160,4.76,0.8757,10.92,0.029,9210.17,0.866,0.4852,0.0026556777
281.66766,47.37506,10253676,5673,4.44,1.0118,1.373,0.003,1829.21,0.905,0.5087,0.0021849964
296.07547,47.25364,10219271,5563,4.82,0.9817,5.972,0.005,18903.4,1.247,0.6697,0.0008372405
291.09363,47.2225,10205999,5618,4.55,0.9967,21.893,0.151,7121.89,0.724,0.4561,0.0068971817
288.92361,47.26106,10200900,5736,4.53,1.0295,19.688,1.117,1948.36,0.332,0.2636,0.056735067
288.73019,47.24229,10200489,6145,4.26,1.1526,10.768,0.086,471.06,0.39,0.2985,0.007986627
288.31488,47.24971,10199661,5558,4.54,0.9803,18.3,0.105,6382.17,0.786,0.5248,0.0057377049
288.08896,47.23177,10199239,5538,4.66,0.9749,15.634,0.518,2230.26,0.603,0.4008,0.0331329154
287.78583,47.27429,10198664,5495,4.9,0.9634,21.896,0.608,3222.94,0.724,0.4737,0.0277676288
287.14325,47.2245,10197380,5272,4.3,0.9047,7.458,0.024,7641.58,1.264,0.6631,0.0032180209
286.61191,47.29627,10196418,5168,4.45,0.8777,24.104,0.062,8643.21,0.866,0.5326,0.0025721872
286.27158,47.23672,10195760,5433,4.66,0.9469,23.283,0.31,3806.59,0.568,0.408,0.0133144354
284.89499,47.27674,10193096,6428,4.44,1.2496,2.199,0.003,8729.55,1.261,0.7114,0.0013642565
283.5383,47.26293,10190470,4610,4.42,0.7309,24.824,0.442,6285.82,1.067,0.606,0.0178053497
283.21982,47.22423,10189880,5285,4.46,0.9081,17.714,0.084,10163.37,1.069,0.635,0.004742012
282.61105,47.24691,10188858,5783,4.29,1.0428,19.818,0.507,3474.06,0.424,0.3054,0.0255828035
297.58044,47.14203,10158151,6254,4.71,1.1886,2.172,0.011,2208.59,0.909,0.5601,0.0050644567
296.74017,47.13602,10155219,6092,4.33,1.1357,6.159,0.035,338.49,0.598,0.413,0.0056827407
294.09818,47.1737,10147068,5414,4.24,0.9419,7.053,0.029,14038.5,1.406,0.74,0.0041117255
291.4407,47.1884,10140072,4595,4.27,0.7268,36.039,2.83,4914.13,0.559,0.3531,0.0785260412
289.67648,47.14437,10135493,5933,4.44,1.0867,7.033,0.012,17720.91,1.383,0.7344,0.001706242
288.79526,47.1545,10133536,6390,4.59,1.2359,5.723,0.071,2174.65,0.622,0.4434,0.0124060807
288.64142,47.14666,10133176,5405,4.45,0.9395,11.121,0.018,23860.48,1.304,0.722,0.0016185595
288.30032,47.15763,10132432,5306,4.18,0.9135,16.7,0.026,9327.05,0.996,0.6142,0.0015568862
287.25055,47.1393,10130282,6301,4.21,1.2047,8.955,0.113,594.79,0.454,0.3275,0.0126186488
286.11002,47.11523,10128034,5200,4.92,0.886,23.403,0.247,6536.78,0.646,0.4454,0.0105542025
284.80655,47.19268,10125510,5619,4.9,0.9969,23.427,2.167,690.13,0.341,0.2508,0.0925001067
283.94327,47.1271,10123637,5276,4.56,0.9057,27.472,0.438,3966.63,0.493,0.3482,0.0159435061
283.88837,47.19664,10123547,5013,4.56,0.8376,11.679,0.009,17202.08,1.391,0.7428,0.0007706139
283.8801,47.10883,10123523,5302,4.65,0.9125,27.927,0.179,2552.81,0.536,0.3595,0.0064095678
282.90948,47.11004,10121766,5057,4.42,0.849,29.655,1.298,2163.71,0.648,0.415,0.0437700219
280.9527,47.16458,10118677,3953,4.73,0.5243,22.371,0.196,2693.71,0.64,0.3878,0.0087613428
280.94833,47.16611,10118672,4005,4.58,0.5448,16.238,0.034,7746.28,1.049,0.5882,0.0020938539
299.65491,47.00796,10098760,4930,4.41,0.8161,9.602,0.15,7907.27,1.203,0.63,0.0156217455
298.18695,47.0427,10093620,5414,4.87,0.9419,19.65,0.164,7809.82,0.969,0.581,0.008346056
297.66449,47.00493,10091809,6368,4.38,1.2281,3.895,0.005,10144.44,1.04,0.6377,0.001283697
297.49597,47.02078,10091197,5627,4.89,0.9991,14.26,0.023,8165.72,1.036,0.6247,0.0016129032
296.14325,47.0173,10086746,6094,4.48,1.1363,1.973,0.012,570.36,0.532,0.3441,0.0060821085
294.70264,47.01978,10082556,6330,4.52,1.2147,4.528,0.003,7824.66,1.202,0.6778,0.0006625442
294.6441,47.0314,10082384,5931,4.68,1.0861,9.991,0.051,9750.07,1.02,0.6347,0.0051045941
294.1825,47.04093,10081150,5546,4.58,0.9771,6.735,0.01,14060.94,1.281,0.6893,0.001484781
291.55283,47.00805,10074520,4723,4.08,0.7615,25.001,0.093,5401.1,0.887,0.5705,0.0037198512
290.32089,47.01514,10071383,5075,4.65,0.8537,1.522,0.005,61569.09,1.637,0.796,0.0032851511
289.83023,47.03815,10070180,5757,4.95,1.0354,17.716,0.282,3905.24,0.551,0.4032,0.0159178144
289.3385,47.04811,10069078,5295,4.5,0.9107,22.054,0.201,8455.69,0.937,0.5604,0.0091139929
289.18036,47.09314,10068745,4929,4.13,0.8158,15.132,0.193,15494.23,1.229,0.6932,0.0127544277
287.42529,47.03971,10065198,5295,4.57,0.9107,19.629,0.117,10602.92,0.949,0.5912,0.0059605685
287.09412,47.07536,10064591,5845,4.42,1.0607,6.597,0.061,7783.26,1.127,0.6414,0.0092466273
286.52396,47.05293,10063483,4781,4.57,0.7769,28.924,0.544,3302.69,0.57,0.399,0.0188079104
286.46033,47.00583,10063343,3976,4.43,0.5334,0.337,0.004,163959.09,1.75,0.8252,0.0118694362
286.05377,47.05139,10062593,5271,4.93,0.9044,7.885,0.028,16371.76,1.267,0.6677,0.0035510463
284.15112,47.0232,10058843,6006,4.54,1.1088,12.652,0.258,1158.89,0.462,0.3585,0.0203920329
283.90506,47.0406,10058376,4519,4.59,0.7057,31.717,1.033,10102.45,0.575,0.4119,0.0325692846
283.63675,47.06257,10057846,5410,4.64,0.9408,14.972,0.085,5586.98,1.095,0.6581,0.0056772642
282.93115,47.01495,10056652,4856,4.53,0.7967,26.209,0.335,2731.29,0.734,0.4988,0.0127818688
299.74994,46.9996,10034864,4246,4.59,0.6412,29.029,0.222,2988.22,0.612,0.4068,0.0076475249
297.37915,46.92679,10026881,4040,4.46,0.5587,14.346,0.022,17729.58,1.396,0.7405,0.0015335285
296.42667,46.90026,10023645,4140,4.55,0.5986,15.02,0.068,9512.25,1.226,0.6775,0.0045272969
294.84796,46.99428,10019233,5625,4.64,0.9986,15.708,0.056,5945.95,0.81,0.5474,0.0035650624
293.66296,46.92327,10015980,6277,4.49,1.1965,8.125,0.222,873.27,0.443,0.3383,0.0273230769
293.55411,46.90304,10015708,5903,4.27,1.0778,17.75,0.356,1503.17,0.46,0.323,0.020056338
293.45364,46.91728,10015467,5792,4.39,1.0454,31.224,0.11,711.98,0.569,0.309,0.0035229311
290.064,46.96524,10007439,6398,4.32,1.2388,5.456,0.143,1355.59,0.44,0.3477,0.0262096774
289.43213,46.99541,10005961,6380,4.46,1.2324,15.631,0.144,1077.18,0.703,0.3963,0.0092124624
286.93121,46.92195,10001116,5281,4.56,0.907,12.52,0.009,22314.19,1.299,0.7148,0.0007188498
286.18817,46.98819,9999901,4897,4.59,0.8075,12.205,0.094,11628.45,1.152,0.6218,0.0077017616
284.17227,46.9501,9996414,5218,4.34,0.8907,28.155,1.793,2391.9,0.383,0.2929,0.0636831824
282.04504,46.9956,9992904,4172,4.49,0.6114,12.317,0.029,4623.29,1.138,0.6156,0.0023544694
281.4581,46.97233,9992006,5465,4.79,0.9554,6.786,0.051,3568.29,1.021,0.5679,0.007515473
297.85654,46.86666,9967493,5571,4.54,0.9839,17.705,0.505,3025.59,0.707,0.4939,0.0285230161
297.56955,46.84614,9966527,4852,4.39,0.7957,34.815,1.768,3176.48,0.632,0.3803,0.0507827086
297.30463,46.83705,9965597,5201,4.3,0.8863,14.589,0.02,18227.4,1.326,0.6945,0.0013708959
293.23267,46.82958,9954542,6497,4.46,1.2751,3.812,0.009,2305.6,0.634,0.4528,0.0023609654
293.0022,46.88834,9954054,4312,4.53,0.6678,22.113,0.174,4683.26,0.944,0.5758,0.0078686745
288.73514,46.89247,9944612,4990,4.61,0.8317,8.599,0.009,15653.07,1.102,0.5808,0.0010466333
288.6149,46.88642,9944414,5000,4.42,0.8343,29.1,0.542,2377.51,0.69,0.443,0.0186254296
288.10468,46.82384,9943569,4665,4.01,0.7459,41.758,1.815,3489.02,0.544,0.2993,0.0434647253
288.03922,46.87629,9943450,4357,4.48,0.686,10.76,0.036,12920.98,1.391,0.7339,0.0033457249
287.87415,46.80129,9943180,5193,4.62,0.8842,8.058,0.042,9506.31,0.819,0.4559,0.0052122115
287.87262,46.80106,9943177,6176,4.31,1.1627,8.07,0.117,854.61,0.907,0.5728,0.0144981413
287.46246,46.81162,9942472,6213,4.25,1.1749,2.773,0.006,6423.59,1.146,0.6593,0.0021637216
287.07306,46.89539,9941810,5444,4.51,0.9498,19.726,0.106,8235.39,0.839,0.5433,0.0053736186
283.12177,46.84965,9935092,4365,4.42,0.6892,22.547,0.16,17550.77,1.245,0.6467,0.0070962878
281.27539,46.86659,9932534,5042,4.32,0.8451,7.717,0.014,24929.82,1.397,0.7138,0.0018141765
297.87613,46.71678,9907711,6276,4.38,1.1961,3.839,0.269,709.65,0.341,0.2507,0.0700703308
297.86029,46.70237,9907651,5770,4.52,1.0391,5.429,0.006,11640.97,1.225,0.668,0.0011051759
297.34482,46.79726,9905877,5959,4.51,1.0945,4.011,0.012,7849.04,1.169,0.6479,0.0029917726
295.15475,46.73664,9899193,6408,4.34,1.2424,5.432,0.058,1868.43,0.444,0.3478,0.0106774669
295.15283,46.71359,9899186,6155,4.18,1.1559,4.675,0.026,2256.9,0.691,0.4634,0.0055614973
294.74847,46.76214,9898159,5527,4.61,0.972,8.361,0.023,15380.68,1.292,0.708,0.0027508671
294.73569,46.79304,9898127,5847,4.26,1.0613,22.941,0.545,989.02,0.429,0.2671,0.023756593
294.06647,46.72491,9896250,5587,4.41,0.9882,23.346,1.611,1515.9,0.557,0.374,0.0690053971
293.65195,46.78136,9895192,5089,4.47,0.8573,22.475,0.396,5877.49,0.775,0.5088,0.0176195773
293.62292,46.75203,9895111,6051,4.62,1.1228,8.952,0.051,4753.65,0.912,0.5906,0.0056970509
290.35333,46.70531,9887338,5720,4.8,1.025,13.414,0.015,7049.83,1.106,0.6391,0.0011182347
289.49579,46.70307,9885552,6083,4.4,1.1328,6.057,0.065,15497.51,1.184,0.6947,0.0107313852
288.89011,46.76198,9884377,4826,4.31,0.7888,19.06,0.051,12567.16,1.26,0.6726,0.0026757608
288.83221,46.74628,9884277,6488,4.44,1.2718,1.614,0.011,6906.06,1.259,0.7099,0.0068153656
287.36545,46.78806,9881658,6234,4.32,1.1819,9.437,0.259,650.35,0.389,0.2964,0.0274451627
286.71024,46.78778,9880549,5872,4.33,1.0686,9.477,0.035,14635.53,1.14,0.6791,0.0036931518
286.37271,46.7884,9880027,6203,4.51,1.1716,5.123,0.026,3312.95,0.79,0.5289,0.0050751513
285.48172,46.70507,9878503,5446,4.93,0.9503,13.752,0.056,13655.54,1.276,0.6863,0.004072135
283.92279,46.79538,9875793,5561,4.66,0.9811,20.759,1.246,1843.87,0.574,0.4157,0.0600221591
283.20898,46.74526,9874701,5782,4.38,1.0425,19.717,0.702,1987.34,0.449,0.3213,0.0356037937
282.91962,46.72157,9874258,5004,4.44,0.8353,14.141,0.033,6380.02,0.913,0.5174,0.0023336398
282.84705,46.70765,9874152,5646,4.55,1.0044,11.101,0.111,3998.22,0.953,0.5839,0.0099990992
299.53506,46.68351,9853379,5054,4.52,0.8482,30.224,1.031,6839.81,0.717,0.435,0.034111964
298.21994,46.69152,9849014,4997,4.37,0.8335,9.065,0.004,16256.78,1.271,0.66,0.0004412576
298.0192,46.69644,9848292,5236,4.68,0.8953,5.331,0.032,8615.67,0.91,0.4956,0.0060026261
297.19183,46.6752,9845245,6238,4.51,1.1833,3.649,0.003,8541.17,1.127,0.6674,0.0008221431
297.1442,46.64683,9845087,5632,4.73,1.0005,29.105,1.469,1058.64,0.599,0.3473,0.0504724274
296.56937,46.66433,9843283,5430,4.9,0.9461,20.809,0.631,4337.01,0.714,0.495,0.0303234178
295.44632,46.64813,9840129,6314,4.26,1.2092,4.102,0.035,7072.21,1.331,0.7143,0.0085324232
295.36365,46.68353,9839872,5090,4.52,0.8576,17.901,0.05,5463.48,1.018,0.613,0.00279314
295.22073,46.68648,9839485,6332,4.43,1.2154,8.912,0.19,594.08,0.405,0.2913,0.0213195691
294.85934,46.63569,9838537,5627,4.57,0.9991,21.168,1.028,2601.15,0.47,0.3483,0.04856387
294.48953,46.68003,9837556,4899,4.06,0.808,10.272,0.025,15826.11,1.361,0.7119,0.0024338006
293.83008,46.64699,9835762,6303,4.7,1.2054,7.637,0.049,1017.12,0.308,0.2532,0.006416132
293.23245,46.61809,9834255,5681,4.59,1.0141,65.157,0.477,744.7,0.593,0.2605,0.007320779
292.93393,46.61316,9833554,5104,4.5,0.8612,29.669,0.674,4402.19,0.668,0.417,0.0227173144
292.5864,46.62007,9832811,6263,4.35,1.1917,15.166,0.398,1008.48,0.459,0.2773,0.0262429118
292.38852,46.64189,9832382,4607,4.18,0.7301,9.251,0.014,16406.3,0.894,0.4863,0.0015133499
290.39087,46.67878,9827656,5897,4.54,1.076,9.451,0.286,4385.77,0.696,0.4606,0.030261348
290.05615,46.66224,9826856,4922,4.11,0.814,23.795,0.364,6440.52,0.815,0.5341,0.0152973314
289.51019,46.60891,9825766,5701,4.52,1.0196,23.147,0.126,2676.84,0.485,0.321,0.00544347
288.58881,46.64871,9824105,5800,4.39,1.0477,11.34,0.48,3810.58,1.015,0.6351,0.0423280423
288.49146,46.66038,9823931,4948,4.34,0.8208,23.507,0.694,7394.73,0.987,0.587,0.0295231208
288.44595,46.64849,9823846,5952,4.86,1.0924,9.759,0.1,6153.64,1.044,0.639,0.0102469515
288.20248,46.60157,9823433,5871,4.46,1.0683,12.937,0.176,5424.5,0.908,0.5787,0.0136043905
288.04889,46.60456,9823179,5042,4.31,0.8451,17.508,0.121,18427.31,1.207,0.6708,0.0069111263
282.34805,46.60014,9813472,5295,4.38,0.9107,13.308,0.023,20339.91,1.086,0.627,0.0017282837
282.34445,46.63176,9813465,6215,4.25,1.1756,1.857,0.014,4036.55,1.015,0.5975,0.0075390415
282.0903,46.63104,9813079,5669,4.8,1.0107,17.682,0.19,4954.93,0.774,0.5095,0.0107453908
298.79861,46.55672,9790574,4033,4.55,0.5559,19.958,0.224,5245.27,0.896,0.5292,0.0112235695
298.08594,46.55724,9788062,6041,4.43,1.1196,12.117,0.025,881.85,0.31,0.2612,0.002063217
297.76138,46.54699,9786953,5168,4.48,0.8777,7.294,0.018,15664.43,1.129,0.5924,0.0024677817
296.86783,46.51754,9783781,5449,4.38,0.9511,28.86,2.782,824.75,0.472,0.2994,0.0963963964
294.17221,46.52435,9776237,4934,3.95,0.8171,21.895,0.141,5251.94,0.836,0.5281,0.0064398264
293.78305,46.59618,9775219,6416,4.75,1.2453,4.355,0.195,696,0.308,0.2627,0.0447761194
293.32367,46.594,9774082,5596,4.71,0.9907,20.896,1.265,2399.86,0.515,0.3802,0.060537902
293.13885,46.59613,9773626,6454,4.46,1.2592,4.182,0.038,2663.28,0.713,0.4941,0.0090865615
292.93173,46.55796,9773176,5574,4.98,0.9847,7.16,0.02,12622.48,1.319,0.7128,0.0027932961
289.7814,46.59795,9765828,5947,4.37,1.0909,19,0.472,1524.81,0.438,0.2872,0.0248421053
289.30563,46.56082,9764877,5703,4.46,1.0202,4.467,0.015,19966.54,1.462,0.7537,0.0033579584
289.07574,46.5866,9764477,6335,4.46,1.2165,6.214,0.046,5672.99,0.93,0.5747,0.0074026392
287.8533,46.50256,9762390,6453,4.18,1.2588,0.49,0.006,9821.89,1.379,0.7405,0.012244898
285.23038,46.57318,9758051,4222,4.53,0.6315,24.455,0.157,3139.38,1.168,0.6308,0.006419955
282.64612,46.56713,9753647,4766,4.44,0.773,25.494,0.278,3502.85,0.867,0.5571,0.0109045266
297.341,46.48928,9725092,5940,4.35,1.0888,8.493,0.055,4944.15,1.159,0.6832,0.0064759213
296.60306,46.46462,9722677,5553,4.64,0.979,15.336,0.343,1021.86,0.714,0.4721,0.0223656755
296.60031,46.4987,9722664,5940,4.44,1.0888,3.212,0.011,14701.75,1.48,0.7592,0.0034246575
294.81686,46.40515,9717683,5427,4.63,0.9453,23.91,0.382,3528.86,0.827,0.4992,0.0159765788
294.77197,46.44488,9717567,6048,4.4,1.1218,12.2,0.155,761.27,0.388,0.3075,0.012704918
294.13885,46.44986,9715856,6356,4.35,1.2239,16.091,0.409,1819.04,0.566,0.3242,0.0254179355
294.04449,46.46057,9715600,5388,3.82,0.935,11.428,0.064,17457.22,1.349,0.7203,0.00560028
294.03433,46.42492,9715580,6078,4.54,1.1312,4.922,0.051,4709.78,0.878,0.5479,0.0103616416
293.8772,46.48308,9715179,6489,4.05,1.2721,3.159,0.12,1145.3,0.513,0.405,0.0379867047
293.13797,46.48898,9713399,5394,4.15,0.9366,7.855,0.043,10591.36,1.329,0.7084,0.0054742202
292.2598,46.48023,9711291,5866,4.57,1.0668,15.662,1.289,2049.15,0.43,0.3412,0.082301111
291.86716,46.40171,9710336,5077,4.54,0.8542,4.46,0.022,57608.07,1.696,0.7678,0.0049327354
290.53668,46.4873,9707179,5095,4.38,0.8588,31.109,0.274,1281.02,0.499,0.3312,0.0088077405
289.62155,46.44739,9705028,5369,4.69,0.93,16.774,0.192,4305.06,0.909,0.5721,0.0114462859
289.2634,46.47094,9704317,5005,4.33,0.8356,23.891,0.194,6510.08,0.902,0.5614,0.0081202126
289.12375,46.45552,9704078,4555,4.28,0.7157,24.191,0.081,10434.93,1.007,0.6057,0.0033483527
286.80438,46.41542,9700065,5837,4.21,1.0584,25.605,0.351,529.94,0.505,0.2957,0.0137082601
285.34885,46.40572,9697601,4838,4.44,0.792,26.192,0.16,2585.74,0.453,0.287,0.0061087355
282.95309,46.40966,9693506,5748,4.74,1.0329,10.752,0.033,12220.44,1.312,0.6989,0.0030691964
282.70328,46.49799,9693116,5525,4.68,0.9714,15.202,0.025,10400.77,1.017,0.6251,0.0016445205
281.78543,46.42624,9691810,4256,4.29,0.6452,15.892,0.109,7562.79,1.204,0.6746,0.0068587969
297.85959,46.35923,9665919,5357,4.54,0.9269,11.422,0.073,15196.26,1.395,0.7223,0.0063911749
296.82837,46.38139,9662392,6229,4.59,1.1802,1.03,0.003,5266.04,1.188,0.6572,0.0029126214
296.73862,46.354,9662116,5257,4.55,0.9008,22.442,0.597,2706.83,0.695,0.4791,0.0266019071
295.61389,46.31241,9658824,5432,3.99,0.9466,18.883,0.078,4654.23,0.724,0.4906,0.0041306996
295.1922,46.37595,9657635,4541,4.7,0.7118,24.539,0.219,6649.55,1.008,0.602,0.0089245691
294.44736,46.31282,9655730,6386,4.54,1.2345,2.054,0.004,1302.24,0.54,0.3859,0.0019474197
293.29333,46.34044,9652725,6269,4.64,1.1937,4.9,0.036,740.11,0.38,0.2896,0.0073469388
292.64166,46.33034,9651157,5343,4.83,0.9232,23.395,1.373,4030.29,0.565,0.4107,0.0586877538
292.17035,46.31996,9650017,6029,4.58,1.1159,8.142,0.01,12178.84,1.132,0.665,0.0012281995
289.2424,46.33705,9643212,4797,4.31,0.7812,31.884,0.341,5644.2,0.716,0.4418,0.0106950194
287.87476,46.34339,9640760,5069,4.39,0.8521,28.014,0.415,5065.35,0.666,0.4398,0.0148140216
287.06482,46.31092,9639410,4661,4.31,0.7448,24.35,0.162,2434.58,0.625,0.3925,0.0066529774
286.80914,46.39041,9639021,5138,4.48,0.87,11.944,0.026,5986.87,1.176,0.6438,0.0021768252
285.38071,46.33187,9636656,4881,4.58,0.8033,27.563,0.232,3886.64,0.54,0.3689,0.0084170809
281.8873,46.37813,9631018,4650,4.07,0.7418,14.192,0.203,4496.13,1.051,0.5782,0.0143038331
297.84384,46.28004,9605099,5647,4.59,1.0046,14.73,0.228,1932.02,0.53,0.3617,0.0154786151
297.09442,46.25036,9602418,4818,4.24,0.7867,19.758,0.055,10863.45,1.1,0.6579,0.0027836826
296.72635,46.25496,9601150,6337,4.32,1.2172,3.691,0.07,1179.28,0.424,0.3202,0.0189650501
295.45758,46.22191,9597472,5672,4.68,1.0116,19.709,0.346,1590.13,0.327,0.253,0.0175554315
294.82269,46.23058,9595725,5914,4.43,1.081,18.739,0.188,3471.79,0.829,0.4875,0.0100325524
294.72678,46.2417,9595474,5860,4.61,1.0651,38.822,0.127,542.34,0.545,0.2699,0.003271341
294.71802,46.287,9595449,5046,4.26,0.8462,33.243,2.238,2483.25,0.776,0.4348,0.0673224438
294.51993,46.29877,9594935,6242,4.5,1.1846,2.306,0.026,1824.32,0.458,0.3147,0.011274935
293.49545,46.20787,9592100,5653,4.36,1.0063,14.97,0.267,4971.98,0.644,0.4403,0.0178356713
293.05447,46.22292,9591019,5649,4.63,1.0052,16.937,0.852,1141.4,0.42,0.2986,0.050304068
292.90973,46.28297,9590661,6432,4.41,1.2511,3.091,0.009,5587.1,0.992,0.6225,0.0029116791
292.34964,46.2918,9589309,4148,4.46,0.6018,21.243,0.121,10680.74,1.309,0.6732,0.005695994
289.76016,46.22344,9583093,4642,4.05,0.7396,23.589,0.084,7747.47,1.02,0.6127,0.0035609818
287.63174,46.20048,9579191,5489,4.54,0.9618,14.304,0.565,2670.53,0.84,0.5282,0.0394994407
287.54214,46.24058,9579050,5886,4.54,1.0727,4.242,0.003,5937.87,1.437,0.7484,0.0007072136
287.38141,46.25925,9578763,4836,4.61,0.7915,22.823,0.027,18534.63,1.132,0.6238,0.0011830171
285.99783,46.21191,9576407,6496,4.25,1.2748,2.227,0.066,935.73,0.357,0.2893,0.029636282
285.67697,46.27508,9575789,5687,4.35,1.0157,12.836,0.094,4418.7,1.009,0.6297,0.0073231536
284.79193,46.25451,9574284,5528,4.53,0.9722,21.679,1.273,2225.04,0.557,0.4037,0.0587204207
282.65338,46.22177,9570523,5261,4.28,0.9018,8.128,0.011,13133.29,1.311,0.6899,0.0013533465
297.24179,46.12554,9540967,5794,4.33,1.046,24.149,0.054,839.14,0.649,0.3861,0.0022361174
297.20023,46.12612,9540796,6309,4.28,1.2074,1.585,0.003,1652,0.89,0.553,0.0018927445
295.29315,46.10412,9535182,5413,4.67,0.9416,18.307,0.137,5626.92,0.786,0.5207,0.0074834763
289.04697,46.18073,9520152,5866,4.5,1.0668,14.094,0.365,627.22,0.514,0.3839,0.0258975451
289.01514,46.11304,9520084,5294,4.65,0.9104,17.279,0.081,10195.37,0.989,0.615,0.0046877713
288.62497,46.14151,9519435,6240,4.68,1.1839,1.411,0.013,10271.01,1.365,0.7243,0.0092133239
