_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,Rper,LPH,w,dP/P
293.23492,48.84741,11193140,6097,4.38,1.1372,23.368,0.171,1019.42,0.818,0.4398,0.0073176994
292.11807,48.84989,11190936,4784,4.22,0.7777,14.024,0.027,12108.92,1.309,0.7193,0.001925271
290.32425,48.8148,11187716,5183,4.51,0.8816,11.328,0.013,1274.59,0.941,0.5262,0.0011475989
289.85214,48.81244,11186837,5743,4.55,1.0315,1.845,0.005,29389.38,1.451,0.7257,0.0027100271
288.27652,48.88243,11183868,4708,4.21,0.7575,11.368,0.195,15404.94,1.325,0.6971,0.0171534131
285.54083,48.87465,11179559,5444,4.6,0.9498,15.602,0.005,16934.28,1.246,0.6654,0.0003204717
284.38797,48.85071,11177871,5793,4.38,1.0457,22.819,0.238,1948.71,0.627,0.3844,0.0104299049
298.27673,48.77712,11153064,5301,4.47,0.9122,28.374,0.192,3321.08,0.607,0.3869,0.0067667583
295.26312,48.71862,11144871,5820,4.4,1.0535,18.741,0.488,835.06,0.51,0.3572,0.0260391655
295.09412,48.72672,11144500,6372,4.15,1.2295,2.91,0.138,875,0.395,0.2973,0.0474226804
293.62463,48.74165,11141026,5327,4.74,0.919,5.371,0.008,1223.09,1.057,0.5666,0.0014894805
293.43939,48.78338,11140660,6191,4.38,1.1676,9.573,0.277,831.72,0.46,0.3469,0.0289355479
293.20261,48.78717,11140181,5463,4.55,0.9549,11.437,0.005,19168.97,1.175,0.6757,0.0004371776
292.00983,48.72767,11137856,5496,4.9,0.9637,11.687,0.025,6533.38,1.049,0.6184,0.0021391289
291.92365,48.73251,11137684,5842,4.33,1.0598,19.35,0.202,942.23,0.486,0.3335,0.0104392765
290.91611,48.74978,11135734,6112,4.59,1.142,22.661,0.132,1224.61,0.579,0.3222,0.0058249857
287.11282,48.77975,11128556,5554,4.89,0.9793,18.568,0.493,4982.44,0.665,0.4724,0.0265510556
286.58673,48.73154,11127820,5621,4.59,0.9975,15.11,0.161,4405.68,0.758,0.5085,0.0106551952
284.39893,48.74246,11124504,6304,4.28,1.2057,6.279,0.118,546.51,0.333,0.2804,0.0187928014
294.9093,48.63284,11090654,5752,4.3,1.034,18.557,0.107,1789.15,0.48,0.3582,0.0057660182
293.8093,48.62063,11088118,4062,4.54,0.5674,12.554,0.076,18835.07,0.846,0.4757,0.0060538474
293.71851,48.61396,11087914,6373,4.38,1.2299,3.17,0.016,5735.25,1.04,0.649,0.0050473186
293.61557,48.65917,11087683,6160,4.44,1.1575,7.531,0.046,7081.33,1.176,0.6592,0.0061080866
293.17545,48.6252,11086743,6440,4.45,1.254,6.871,0.135,1024.43,0.346,0.2556,0.0196477951
292.86804,48.65312,11086137,6203,4.35,1.1716,9.209,0.078,4566.91,0.769,0.5013,0.008469975
292.85349,48.68012,11086108,5343,4.56,0.9232,20.883,0.059,5858.36,0.936,0.5686,0.0028252646
292.23856,48.69126,11084861,5593,4.23,0.9898,7.479,0.011,15538.75,1.213,0.6704,0.0014707849
291.78336,48.65577,11083960,6180,4.46,1.164,9.52,0.27,2086.64,0.571,0.4106,0.0283613445
291.03412,48.67309,11082570,5138,4.6,0.87,22.698,0.721,5323.23,0.797,0.5346,0.0317649132
290.52402,48.67065,11081607,6229,4.41,1.1802,2.723,0.013,1062.45,0.714,0.4674,0.0047741462
290.17728,48.66677,11081012,4932,4.65,0.8166,27.709,0.721,5827.93,0.792,0.4981,0.0260204266
